mile,elevation_ft,lat,lon
0.0,6231.95558,39.195617048,-120.236340983
0.02616599764161294,6235.633401640001,39.1952271,-120.2362525
0.046862614856612486,6242.18195828,39.1949216,-120.2363383
0.07620829033569629,6262.713455,39.1946617,-120.2367889
0.12101954135945199,6295.101907480001,39.1943,-120.2375265
0.17292059205494392,6327.72986128,39.1942397,-120.2384948
0.22543968641838283,6368.67146364,39.1936182,-120.2391305
0.254107911273346,6383.50086044,39.1933105,-120.2394872
0.27526556577218364,6392.20492896,39.1930923,-120.2392163
0.33927128244332394,6417.90046784,39.1932253,-120.2379798
0.3569490753260498,6435.77448416,39.1930569,-120.2377518
0.3967127749503981,6472.23117824,39.1926121,-120.2382695
0.4579044541480072,6525.80073376,39.1919219,-120.239058
0.5272864960434508,6574.64259884,39.1912962,-120.240139
0.6023535375763222,6621.817797199999,39.1910592,-120.2415793
0.655284654245321,6653.64522604,39.190766915,-120.242546567
0.8163397533423565,6761.702972280001,39.1894668,-120.245211
0.8971747237763359,6828.638669960001,39.1891467,-120.2467372
0.9729786862964527,6857.9070436,39.1882195,-120.2475955
1.03472414876983,6881.059931480001,39.187444,-120.2482714
1.121428762890408,6949.5080964,39.1863048,-120.2491244
1.196521921906413,7042.621616439999,39.1853796,-120.2499773
1.2349236091509053,7084.15377,39.185101,-120.2506157
1.2843429717706965,7135.45954592,39.1853214,-120.2515223
1.3854605499975674,7223.63212092,39.1865376,-120.2527319
1.4213763701003606,7280.31191276,39.1866623,-120.2533891
1.5102150740796532,7390.413622319999,39.1860989,-120.2549609
1.5328999422803329,7394.586850799999,39.1862902,-120.2553203
1.5792019441902858,7411.7128356,39.1864191,-120.2562027
1.6203175308153517,7435.37097284,39.1869326,-120.2566453
1.6352354293977593,7446.98842728,39.186864,-120.2569001
1.6585159810931922,7465.351288759999,39.1865147,-120.2568921
1.6698943859554194,7477.126223519999,39.1864752,-120.2570771
1.6970096441032698,7499.55404576,39.1868494,-120.2572917
1.718865914114926,7502.874255840001,39.1871571,-120.2573212
1.7304195994622489,7513.169531760001,39.187312736,-120.257217763
1.766589030245301,7529.5212383200005,39.187787,-120.256876
1.79326228734275,7550.2266195600005,39.1879554,-120.2564066
1.8126114943364418,7569.882132000001,39.1882028,-120.2565005
1.852178291190034,7604.73121448,39.1884253,-120.2571898
1.8934417950710336,7641.72268548,39.1880448,-120.2578281
1.9438680473404066,7683.94709628,39.1879658,-120.2587911
1.9915810667668352,7723.47793744,39.1879596,-120.2597272
2.0765314459461446,7798.92085324,39.1886935,-120.2610361
2.1290754340068654,7850.9845032,39.1892153,-120.2618112
2.16696381169353,7885.210226079999,39.1897828,-120.2618568
2.2144836514826385,7910.321775439999,39.1904813,-120.2620473
2.2809215677208905,7941.473351240001,39.1909262,-120.2632006
2.305977901954901,7965.92545176,39.1907744,-120.2636485
2.3305073854683225,7989.34736852,39.1910031,-120.263898
2.4080504505743945,8031.689889560001,39.1918533,-120.2628573
2.4650630046015016,8037.6839842399995,39.1927118,-120.2629565
2.5117064430007336,8044.271910959999,39.1933417,-120.2633642
2.549500930938886,8052.729916480001,39.1938676,-120.2636378
2.5870214670359295,8074.55078332,39.194036,-120.2643245
2.63899354309519,8110.81390784,39.1942564,-120.2653008
2.686371977493211,8141.96876448,39.1943166,-120.2662235
2.739740577554225,8168.97007768,39.1942584,-120.2672615
2.790676876041388,8185.24960576,39.1942584,-120.2682593
2.81978038844501,8212.985827120001,39.1942356,-120.2688145
2.839721163377182,8227.1656176,39.1941046,-120.2691658
2.865109498829851,8240.777822760001,39.1939487,-120.2695843
2.923586459602466,8279.32441192,39.1934103,-120.2704694
2.995114399871625,8324.308009159999,39.1928033,-120.2716147
3.033339185480568,8351.70958484,39.1924624,-120.2722209
3.0551242827478915,8372.20499232,39.1924769,-120.2726339
3.0735821569168227,8413.10066292,39.192360734,-120.272955874
3.082464685135932,8431.33557164,39.1923314,-120.2731167
3.09834853595476,8465.147908680001,39.1922649,-120.273385
3.113954360597716,8497.93006196,39.1923231,-120.2736746
3.1255281048889265,8518.41234608,39.1922316,-120.2738517
3.1402926343219666,8528.47140152,39.1923169,-120.2740582
3.1563383063272905,8545.86969604,39.192319,-120.2743291
3.1874687581726158,8578.81917216,39.1921048,-120.2748441
3.266241935342984,8632.3985702,39.1913336,-120.2759921
3.337019549757075,8693.64857216,39.1904813,-120.2768182
3.3735941997919943,8677.848046719999,39.1904875,-120.2773788
3.401326955693896,8662.2870226,39.1908867,-120.2775021
3.4610883494970035,8643.392665039999,39.1917909,-120.2774861
3.4940611705987727,8626.525866599999,39.1922878,-120.2774136
3.54278237449878,8589.9445006,39.1930133,-120.2775719
3.564010077005851,8579.71156064,39.1933209,-120.2776658
3.611928349776132,8533.49436756,39.1939716,-120.2780842
3.636471111602076,8506.49305436,39.1942834,-120.278339
3.6708137815653603,8471.335572920001,39.1945141,-120.2789398
3.6968757936562864,8445.42677944,39.1944996,-120.2794307
3.7226901924835665,8427.74305184,39.1945515,-120.2799242
3.7839727515583244,8416.93268404,39.194643,-120.2811124
3.8316392644907538,8407.47402232,39.1945328,-120.2820002
3.8509249851695166,8394.03242084,39.1943208,-120.2822443
3.8631001138290126,8394.8165416,39.1942751,-120.2824535
3.8726399962032687,8403.32047888,39.1942584,-120.2826359
3.9034786065407547,8410.023235,39.1939924,-120.2830811
3.9525752472102718,8394.18990116,39.1938531,-120.2840226
3.994228235530183,8381.78504512,39.1939071,-120.2848299
4.011686602224224,8364.882157439999,39.1938136,-120.2851384
4.034584037454799,8352.857878840001,39.1938967,-120.2855434
4.060754001654292,8343.57310164,39.1939778,-120.2860423
4.083532883660696,8336.73911192,39.1940568,-120.2864741
4.107728673585358,8325.52848164,39.1942044,-120.2868845
4.128291881128333,8313.30735264,39.1942501,-120.2872815
4.1712858082003,8307.21483276,39.1944746,-120.288062
4.198652752328769,8312.72336312,39.1946638,-120.2885287
4.22415007047936,8322.67087,39.1949174,-120.2888881
4.259190046479203,8305.3152264,39.1950005,-120.2895211
4.298293584398765,8284.85590816,39.1950484,-120.2902802
4.331565600104063,8278.04160348,39.1951565,-120.2909078
4.352588221161905,8275.35787636,39.1951731,-120.2913102
4.380535504714787,8231.36181196,39.1948821,-120.2917044
4.410121241857478,8197.6380576,39.1946368,-120.2921872
4.4399676588390715,8184.3342514,39.1944829,-120.2927291
4.458716053118335,8175.2660096399995,39.1944143,-120.2930804
4.480548036433175,8165.456298040001,39.1943478,-120.2934854
4.5090102506978,8146.9162712,39.194248,-120.2940058
4.539987161604129,8127.1492102,39.1943977,-120.2945288
4.573654320090962,8110.820469519999,39.1945765,-120.2951028
4.597761710745589,8102.191860319999,39.1945578,-120.2955695
4.634118315895507,8109.531099399999,39.1949174,-120.2960872
4.647374559663754,8126.6669267199995,39.1950588,-120.2960845
4.658902019577701,8138.47466988,39.1951814,-120.2961998
4.70115218660657,8139.403147599999,39.1954745,-120.2969133
4.7228236611200005,8167.21810912,39.1957156,-120.2971145
4.7382385925812045,8185.0265086399995,39.1958778,-120.2973129
4.753830612554422,8211.2371394,39.1960981,-120.2972995
4.772116091016225,8227.00485644,39.1963247,-120.2974766
4.7928387021885746,8236.18464676,39.1965263,-120.2977796
4.82437974273696,8226.88018452,39.1965492,-120.2983858
4.878371610035816,8222.250919279999,39.1968132,-120.2993756
4.95873403005908,8195.2266402,39.1969753,-120.3009312
4.978902746566386,8162.62493312,39.196755,-120.3011968
5.0066527518377235,8145.653147800001,39.1966697,-120.3017091
5.029767714307501,8138.02191396,39.1966344,-120.3021436
5.050444108410152,8114.74435416,39.1965471,-120.3025245
5.076104983133194,8097.02125648,39.1965138,-120.3030153
5.0921948436579445,8080.479261199999,39.1964619,-120.3032943
5.1078867063442175,8053.330310200001,39.1962893,-120.3034337
5.1292127161463705,8019.849337999999,39.1961916,-120.3038173
5.147561759385126,8005.21351076,39.1962207,-120.304166
5.18480239789038,7960.71547784,39.1960669,-120.3048392
5.212238306629806,7961.5160028,39.1962207,-120.3053274
5.23010937210835,7975.2463182,39.1963933,-120.3055473
5.2518972651735565,7943.77978176,39.1962852,-120.3059041
5.263937759086772,7930.095398119999,39.1962602,-120.3061347
5.279574479398363,7909.55077804,39.1961833,-120.306403
5.2974296917415575,7895.403795959999,39.1960815,-120.3067168
5.323995706833284,7903.848678119999,39.1961896,-120.3072022
5.355710478645499,7898.648546719999,39.1962083,-120.3078218
5.377143389934944,7880.7121944400005,39.1962311,-120.3082322
5.4063143504766975,7855.58424088,39.1962166,-120.3087928
5.423160730144038,7844.05864996,39.1962852,-120.3091066
5.446822389647406,7844.682009560001,39.1964203,-120.3095277
5.482118009848957,7798.75681124,39.1963891,-120.3102117
5.51182173591899,7811.6636358,39.1966344,-120.3106623
5.5315509195499475,7801.78502656,39.1966947,-120.3110351
5.566086660236349,7798.874921480001,39.1968173,-120.3116413
5.598499117635062,7786.171509,39.1968028,-120.3122689
5.6301265825272555,7766.325707839999,39.1966801,-120.3128295
5.654188538845697,7736.19447328,39.1963953,-120.3131112
5.672790253744228,7723.74696632,39.196308,-120.3134545
5.685091513424356,7717.359170840001,39.1962727,-120.3136798
5.696415218415746,7711.4241312799995,39.1962769,-120.3138729
5.714816699714148,7716.899853239999,39.1964411,-120.3141223
5.73790028402393,7720.6432916799995,39.196676,-120.3144281
5.749004578591005,7714.022556559999,39.1967217,-120.3146266
5.762179139301458,7702.8709814,39.1966157,-120.3148331
5.78081393570013,7686.3388286399995,39.1965388,-120.3151443
5.800437376134125,7665.817174440001,39.1963891,-120.3154688
5.814616508294382,7653.061268519999,39.1964182,-120.3157317
5.839847051311393,7637.42478508,39.1961542,-120.3160267
5.857549358582663,7628.8289842799995,39.1960981,-120.3163405
5.873017016937966,7620.49565068,39.1960752,-120.3166409
5.888818388621544,7610.30536164,39.1962291,-120.3168233
5.908866362983098,7590.13803816,39.1963205,-120.3171908
5.930559528273169,7569.993680559999,39.1965284,-120.317518
5.956565774384141,7545.61703936,39.1968028,-120.3178399
5.9813770324957405,7536.42084484,39.1971748,-120.3178748
6.00960705915104,7513.64197272,39.197537855,-120.318157027
6.032987578028726,7514.783705039999,39.1978483,-120.3183737
6.0537173353730624,7489.570449639999,39.1977693,-120.3186848
6.078622384300373,7450.51533028,39.1976363,-120.3191354
6.093232174506551,7436.32569728,39.19768,-120.3194036
6.108001941023113,7441.1026003199995,39.1978255,-120.3196101
6.129218181317224,7428.20233744,39.197867,-120.3200125
6.160543466980869,7412.250893359999,39.1979107,-120.3206213
6.182014450396051,7401.93921324,39.1979481,-120.321029
6.19912623738872,7391.033701079999,39.1979814,-120.3213563
6.234899444951794,7381.23055116,39.19821,-120.3219893
6.257701185948341,7401.56847832,39.1985426,-120.3220939
6.275056347130151,7411.532389399999,39.1987608,-120.3222736
6.301617218840171,7432.483833639999,39.1990893,-120.3225445
6.331502976942347,7452.549451079999,39.1994177,-120.3229468
6.346004214638971,7473.0153310000005,39.1995756,-120.323089
6.35420216903794,7485.40378284,39.1996567,-120.3231426
6.367374234483995,7497.28042364,39.1997066,-120.3229119
6.377465287302312,7509.27517468,39.1998001,-120.3230246
6.403150349104495,7532.7627082399995,39.200087,-120.3233626
6.425060038762575,7532.805359159999,39.2001535,-120.3237756
6.4357864750988165,7548.09079272,39.2002824,-120.3238883
6.448550613001404,7559.301422999999,39.2003406,-120.3240868
6.4649910394487815,7577.52977004,39.2004923,-120.3243308
6.505395221207937,7572.060609759999,39.20059,-120.3251114
6.529316961363392,7578.6091664000005,39.2006274,-120.3255647
6.567055112085708,7576.60129232,39.2007105,-120.3262862
6.600333936981999,7576.073077079999,39.2007833,-120.3269299
6.666050337440573,7589.02255256,39.2010202,-120.3281476
6.69980719311226,7579.1341008,39.2010618,-120.328794
6.7297158895040265,7576.1879064800005,39.2010597,-120.3293653
6.767614734987384,7569.501554560001,39.2008727,-120.330052
6.79975671016954,7553.57307636,39.2007188,-120.3306367
6.839056029822827,7543.881475,39.2006399,-120.3313877
6.886361922690377,7554.18659344,39.2008976,-120.3322487
6.921702185277983,7561.6603469599995,39.2011533,-120.3328361
6.978569671542973,7575.315203040001,39.2016147,-120.3337695
7.026082921114262,7573.11047856,39.2018122,-120.3346547
7.073586136493405,7563.4648089600005,39.2017955,-120.3355854
7.110190237259859,7573.4844943200005,39.2020013,-120.3362479
7.132416350324505,7577.9628409199995,39.2020491,-120.3366341
